SMILES,IC50
CC1(CCC2=C(O1)C(=CC3=C2C4C(CO3)C5=CC6=C(C=C5O4)OCO6)O)C,9.6
CC(=CCC1C(=C)CCC2C1(CC(C(C2(C)C)O)OC(=O)C)C)C=C,9.523809524
COC1=C(C2=CN3CCC4=CC5=C(C=C4[C]3C=C2C=C1)OCO5)OC,9.512485137
C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)O)O,9.510065127
C1=CC(=C(C(=C1)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,9.5
CC(=C)C1CC2=CC3=C(C=C2O1)OCC4C3OC5=C4C=CC(=C5OC)OC,9.5
CC1=CCCC2=CC(CC(=CC3C(CC1)C(=C)C(=O)O3)C)OC2=O,9.5
CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=CC(=C(C=C7CCN6C)OC)O3)OC)O)OC,9.5
CC(=CCC1CC23CC(C(OC2=C(C(=O)C(C3=O)(C1(C)C)CC=C(C)C)C(=O)C4=CC(=C(C=C4)O)O)C=C(C)C)C(=C)C)C,9.4873502
CC1=C2C(=CC(=C1O)O)C3(CCC4(C5CC(CCC5(CCC4(C3=C(C2=O)O)C)C)(C)C(=O)OC)C)C,9.48
CCCCCCCCCCCCCCCC(CC(CO)O)O,9.478672986
COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC,9.43
C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,9.42714389
CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C(=O)O)C)C)C)C,9.4
CC(=O)C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O,9.4
COC1=CC(=CC(=C1OC)OC)C=C2C(COC2=O)CC3=CC4=C(C=C3)OCO4,9.4
CC1(C=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4(C3=O)O)OC)OC)C,9.4
CC1C2C(NC(=O)C23C(CC(=CCC(CC3=O)O)C)C=C1C)CC(C)C,9.4
CC(CC=CC(C)(C)O)C1CCC2(C1(CCC34C2C=CC5(C3CCC(C5(C)C)O)OC4OC)C)C,9.4
CC1=CC2C3C(C1CC(=O)C4=COC=C4)(CCCC3(C(=O)O2)C)C,9.4
CC1(CCC(C23C1C(C(C45C2CCC(C4O)C(=C)C5=O)(OC3OC)O)O)O)C,9.4
CCCCCCCCCCCCC(C1CCC(O1)C(CC(CCCCCCCCCCCCC2=CC(OC2=O)C)O)OC(=O)C)O,9.370199693
CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5(CC7C4(C2=O)O7)O)COC6=O)C,9.37
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)CC(=O)C=CC6=CC(=C(C=C6)O)OC)C(=O)O,9.322167799
CC(CC=CC(C)(C)O)C1CCC2(C1(CCC3C2=CCC4C3(CCC(C4(C)C)OC(=O)C)C)C)C,9.3
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,9.3
COC1=CC(=C(C(=C1C(=O)CCC2=CC=CC=C2)O)CC3=CC=CC=C3O)O,9.3
COC1=C2C(=CC(=C1)O)C=CC3=C(C=CC(=C32)O)C4=C5C=CC6=C(C5=C(C=C4O)OC)C(=CC=C6)O,9.3
CC1=CC2C(CCC3(C(O3)CCC4=CC(C1)OC4=O)C)C(=C)C(=O)O2,9.3
CCCCCCCCCCCCCCCC=C1C(C(=C)OC1=O)O,9.27191679
CC1=C2C(C(C3(C(CC4C(C3C(C2(CC1OC(=O)C)C(C)(C)O)OC(=O)C)(CO4)OC(=O)C)OC(=O)C)C)OC(=O)C)OC(=O)C,9.223226597
COC1=C(C2=CN3CCC4=CC5=C(C=C4[C]3C=C2C=C1)OCO5)OC,9.215219976
CC1C(CCC(N1)CCCCCCCCCCC(=O)C)OC(=O)C2=CC=CC=C2,9.21314741
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)O)C)C)C2C1)C)C(=O)O)C,9.2
CC(=CCC1=C(C2=C(C=C1O)OC(=C(C2=O)CC=C(C)C)C3=C(C=C(C=C3)O)O)O)C,9.2
CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,9.2
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C(=O)O)C)C,9.196409021
CCCCCCCCC1CCCC1(CCCCCNN)C(=O)O,9.188361409
C1C=CC(=O)OC1C(C(C2=CC=CC=C2)Cl)O,9.181210178
CC1=CC2=C(C(=C1)O)C(=O)C=C(C2=O)OC,9.165902841
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)CC(=O)C=CC6=CC(=C(C=C6)O)OC)C(=O)O,9.164164955
CC1=CC2=C(C(=C(C(=C2C(C)C)OC)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)OC)C(C)C)O)O,9.147457007
CC1=C2C=C(C(=CC2=C(C=C1)C(C)C)C)O,9.14605693
CC1CC2=CC(=C(C=C2C(C1C)C3=CC=C(C=C3)O)O)O,9.145269082
CCCCCCCCCCCCCCCC=C1C(C(=C)OC1=O)O,9.12332838
CC(=CCCC(=CCC1=C(C=CC(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)C)C,9.12
CC(=CCC1=C(C(=CC2=C1C(=O)C3=C(C4=C(C=C3O2)OC(C=C4)(C)C)O)O)OC)C,9.108716944
CC(CCC=C(C)C)C12CCC(C=C1)(OO2)C,9.1
CC1(C(C(C2=C3C(=C(C=C2O1)O)C(=O)C4(C(O3)COC5=CC(=C(C=C54)OC)OC)O)OC)O)C,9.1
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,9.1
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)CC(=O)C=CC6=CC(=C(C=C6)O)OC)C(=O)O,9.1
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,9.1
C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,9.1
C=CCCCCCCCCCCCC(CC(CO)O)O,9.078212291
CC1=C2C(CC1C3=COC=C3)OC4C2(C(C5(C6C4OCC6(C=CC5=O)C)C)CC(=O)OC)C,9.060773481
COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,9.06
COC1=CC2=CC3=C(C(=C2C=C1OC)C4=CC5=C(C=C4)OCO5)C(=O)OC3,9.058468295
CC(=O)OCC12C(CCC(C1C=O)(C)C)OC(=O)C34C2C(CC(C3)C(=C)C4=O)O,9.04
CC1=C2C(CC1C3=COC=C3)OC4C2(C(C5(C6C4OC(=O)C6(C=CC5=O)C)C)CC(=O)OC)C,9.003215434
COC1=C(C=CC(=C1)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O)O)O,9
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,9
CCCCCCCCCC=CCCCCC=C1C(C(=C)OC1=O)O,8.998505232
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C(=O)O)C)C,8.977446902
C1C=CC(=O)OC1C2C(O2)C3=CC=CC=C3,8.97192804
CC(=CCC1=C(C(=C(C=C1O)OC)C(=O)C=CC2=CC=C(C=C2)O)O)C,8.95
CC(=CCC1=C(C(=C(C=C1OC)OC)C(=O)C=CC2=CC=C(C=C2)O)O)C,8.95
CC(=CCCC(=CCC1=C(C=CC(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)C)C,8.95
CC(=CCC1=C(C=CC(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)C,8.95
C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2C4C(C(C(C(O4)CO)O)O)O)CO)O,8.94
CC1(C=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)C,8.93
CC(=O)OC1CCC(C(C12COC(=O)C34C2CCC(C3)C(=C)C4=O)CO)(C)C,8.91
CC1CCC2(C(C1(C)CCC3=CC(=O)OC3O)CC(=O)C=C2C)C,8.904933815
