SMILES,IC50
C1=CC(=CC=C1C(=O)CCC2=C(C=C(C=C2)O)O)O,100
COC1=CC=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O,14.1
COC1=CC=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O,26.7
COC1=CC=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O,33.3
COC1=CC=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O,49.9
COC1=CC=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O,66.5
C1=CC=C(C=C1)CCC(=O)C2=C(C=C(C=C2)O)O,12
C1=CC=C(C=C1)CCC(=O)C2=C(C=C(C=C2)O)O,46.1
C1=CC=C(C=C1)CCC(=O)C2=C(C=C(C=C2)O)O,57.8
C1=CC=C(C=C1)CCC(=O)C2=C(C=C(C=C2)O)O,81.4
C1=CC=C(C=C1)CCC(=O)C2=C(C=C(C=C2)O)O,100
CC1=C(C(=C(C(=C1O)C(=O)C=CC2=CC=CC=C2)OC)C)O,32.3
CC1=C(C(=C(C(=C1O)C(=O)C=CC2=CC=CC=C2)OC)C)O,37.2
CC1=C(C(=C(C(=C1O)C(=O)C=CC2=CC=CC=C2)OC)C)O,37.7
CC1=C(C(=C(C(=C1O)C(=O)C=CC2=CC=CC=C2)OC)C)O,81.3
CC1=C(C(=C(C(=C1O)C(=O)C=CC2=CC=CC=C2)OC)C)O,84.6
CC1=C(C(=C(C(=C1O)C(=O)C=CC2=CC=CC=C2)OC)C)O,84.8
C1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2)O)O,17
C1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2)O)O,23.2
C1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2)O)O,24.4
C1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2)O)O,100
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=C(C=CC=C3O)O,73.8
C1=CC(=C(C(=C1)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,64
COC1=C(C2=C(C(=C1OC)OC)OC(=CC2=O)C3=CC=CC=C3O)O,80
CC1(C(CCC2(C1CC(C3(C2CCC4(C3=CCC4C5CC(OC5OC)C(C(C)(C)O)O)C)C)O)C)O)C,31.11196466
CC1(C(CCC2(C1CC(C3(C2CCC4(C3=CCC4C5CC(OC5OC)C(C(C)(C)O)O)C)C)O)C)O)C,33.41655464
CC1(C(CCC2(C1CC(C3(C2CCC4(C3=CCC4C5CC(OC5OC)C(C(C)(C)O)O)C)C)O)C)O)C,59.15114269
CC1CC(OC(=O)C1C)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C,13.09680245
CC1CC(OC(=O)C1C)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C,16.09724047
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O,60
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O,65
CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O,68
CC1CC2C(OC3(C1C4(CCC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)OC8C(C(C(CO8)O)O)O)C)O2)C(C)(C)OC,30
CC1CC2(C3C(O3)(CO2)C)OC4C1C5(CCC67CC68CCC(C(C8CCC7C5(C4)C)(C)C)OC9C(C(C(CO9)O)O)O)C,211
CC1=C2C(CC1C3=COC=C3)OC4C2(C(C5(C6C4OCC6(C=CC5=O)C)C)CC(=O)OC)C,18.78453039
CC1=C2C(CC1C3=COC=C3)OC4C2(C(C5(C6C4OCC6(C=CC5=O)C)C)CC(=O)OC)C,19.88950276
CCC(C(C)C)C(C(C(C)C1CCC2C1(CCC3C2CC(=O)C4C3(CC(C(C4)O)O)C)C)O)O,40
CCC(C(C)C)C(C(C(C)C1CCC2C1(CCC3C2CC(=O)C4C3(CC(C(C4)O)O)C)C)O)O,45
CCC(C(C)C)C(C(C(C)C1CCC2C1(CCC3C2CC(=O)C4C3(CC(C(C4)O)O)C)C)O)O,65
